Site,Plot_name,Date,Longitude,Latitude,Plot_size,Limpet_No,SL,Prox,Area
SCI_Tree_1,OL_1,5/23/2023,,,10,27,4.9,64.5,10
SCI_Tree_1,OL_1,5/23/2023,,,10,28,5.4,21.1,10
SCI_Tree_1,OL_1,5/23/2023,,,10,29,6.1,21.1,10
SCI_Tree_1,OL_1,5/23/2023,,,10,30,4.4,27.5,10
SCI_Tree_1,OL_1,5/23/2023,,,10,31,4.1,6.4,10
SCI_Tree_1,OL_1,5/23/2023,,,10,32,3.3,6.4,10
SCI_Tree_1,OL_1,5/23/2023,,,10,33,5.5,9.1,10
SCI_Tree_1,OL_1,5/23/2023,,,10,34,4.8,4.7,10
SCI_Tree_1,OL_1,5/23/2023,,,10,35,3.2,4.7,10
SCI_Tree_1,OL_1,5/23/2023,,,10,36,3.2,0.7,10
SCI_Tree_1,OL_1,5/23/2023,,,10,37,5.7,98.6,10
SCI_Tree_1,OL_1,5/23/2023,,,10,38,5.9,27.6,10
SCI_Tree_1,OL_1,5/23/2023,,,10,39,5.7,3.6,10
SCI_Tree_1,OL_1,5/23/2023,,,10,40,6.1,3.6,10
SCI_Tree_1,OL_1,5/23/2023,,,10,41,3.9,2.2,10
SCI_Tree_1,OL_1,5/23/2023,,,10,42,5.7,2.2,10
SCI_Tree_1,OL_1,5/23/2023,,,10,43,4.4,0.6,10
SCI_Tree_1,OL_1,5/23/2023,,,10,44,4.8,0.6,10
SCI_Tree_1,OL_1,5/23/2023,,,10,45,5.5,19.8,10
SCI_Tree_1,OL_1,5/23/2023,,,10,46,6.1,32.5,10
SCI_Tree_1,OL_1,5/23/2023,,,10,47,5.5,6.1,10
SCI_Tree_1,OL_1,5/23/2023,,,10,48,5.2,2,10
SCI_Tree_1,OL_1,5/23/2023,,,10,49,4.3,2,10
SCI_Tree_1,OL_1,5/23/2023,,,10,50,3.1,45.4,10
SCI_Tree_1,OL_1,5/23/2023,,,10,51,4.2,38,10
SCI_Tree_1,OL_1,5/23/2023,,,10,52,3.4,18,10
SCI_Tree_1,OL_1,5/23/2023,,,10,53,2.2,18,10
SCI_Tree_1,OL_2,5/23/2023,,,10,54,3.1,0.6,10
SCI_Tree_1,OL_2,5/23/2023,,,10,55,3.1,0.6,10
SCI_Tree_1,OL_2,5/23/2023,,,10,56,3.6,0.6,10
SCI_Tree_1,OL_2,5/23/2023,,,10,57,4.4,12.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,58,5.4,12.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,59,2.1,14.1,10
SCI_Tree_1,OL_2,5/23/2023,,,10,60,6,3,10
SCI_Tree_1,OL_2,5/23/2023,,,10,61,2.3,3,10
SCI_Tree_1,OL_2,5/23/2023,,,10,62,3.3,3,10
SCI_Tree_1,OL_2,5/23/2023,,,10,63,4.6,7.6,10
SCI_Tree_1,OL_2,5/23/2023,,,10,64,3.6,5.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,65,5.2,5.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,66,4.6,14.8,10
SCI_Tree_1,OL_2,5/23/2023,,,10,67,4.2,14.6,10
SCI_Tree_1,OL_2,5/23/2023,,,10,68,5.2,36.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,69,6.9,27.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,70,6.2,27.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,71,5.3,54.9,10
SCI_Tree_1,OL_2,5/23/2023,,,10,72,5.3,13,10
SCI_Tree_1,OL_2,5/23/2023,,,10,73,4.6,13,10
SCI_Tree_1,OL_2,5/23/2023,,,10,74,7.8,7.1,10
SCI_Tree_1,OL_2,5/23/2023,,,10,75,5.6,7.1,10
SCI_Tree_1,OL_2,5/23/2023,,,10,76,6.5,4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,77,5.7,4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,78,6.8,5.9,10
SCI_Tree_1,OL_2,5/23/2023,,,10,79,6.3,5.9,10
SCI_Tree_1,OL_2,5/23/2023,,,10,80,7.4,33.3,10
SCI_Tree_1,OL_2,5/23/2023,,,10,81,4.8,33.8,10
SCI_Tree_1,OL_2,5/23/2023,,,10,82,6.3,1.9,10
SCI_Tree_1,OL_2,5/23/2023,,,10,83,3.1,1.9,10
SCI_Tree_1,OL_2,5/23/2023,,,10,84,5.4,26.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,85,6.2,3.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,86,2.8,3.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,87,5.5,21.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,88,5.2,73.4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,89,4.7,13.4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,90,5.3,18.4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,91,8.5,14.6,10
SCI_Tree_1,OL_2,5/23/2023,,,10,92,4.9,14.6,10
SCI_Tree_1,OL_2,5/23/2023,,,10,93,6.5,14.6,10
SCI_Tree_1,OL_2,5/23/2023,,,10,94,4.2,16.7,10
SCI_Tree_1,OL_2,5/23/2023,,,10,95,6.7,16.7,10
SCI_Tree_1,OL_2,5/23/2023,,,10,96,4.6,34.1,10
SCI_Tree_1,OL_2,5/23/2023,,,10,97,6.2,27.8,10
SCI_Tree_1,OL_2,5/23/2023,,,10,98,5.4,4.6,10
SCI_Tree_1,OL_2,5/23/2023,,,10,99,6.5,4.6,10
SCI_Tree_1,OL_2,5/23/2023,,,10,100,5.9,6.4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,101,5.8,36.8,10
SCI_Tree_1,OL_2,5/23/2023,,,10,102,7.1,37.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,103,4.5,9.7,10
SCI_Tree_1,OL_2,5/23/2023,,,10,104,5,9.7,10
SCI_Tree_1,OL_2,5/23/2023,,,10,105,4.9,10.3,10
SCI_Tree_1,OL_2,5/23/2023,,,10,106,5.8,27.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,107,6.5,10.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,108,5.8,3.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,109,6.6,3.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,110,7.2,8.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,111,5.9,1.4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,112,7.1,1.4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,113,2.1,8.7,10
SCI_Tree_1,OL_2,5/23/2023,,,10,114,7,33.9,10
SCI_Tree_1,OL_2,5/23/2023,,,10,115,2.1,1.8,10
SCI_Tree_1,OL_2,5/23/2023,,,10,116,2.2,5.4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,117,2.1,5.7,10
SCI_Tree_1,OL_2,5/23/2023,,,10,118,4.9,6.8,10
SCI_Tree_1,OL_2,5/23/2023,,,10,119,2.1,2.1,10
SCI_Tree_1,OL_2,5/23/2023,,,10,120,7.5,6.8,10
SCI_Tree_1,OL_2,5/23/2023,,,10,121,1.8,2.1,10
SCI_Tree_1,OL_2,5/23/2023,,,10,122,6.1,43.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,123,7.7,49.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,124,5.4,18,10
SCI_Tree_1,OL_2,5/23/2023,,,10,125,1.9,11.1,10
SCI_Tree_1,OL_2,5/23/2023,,,10,126,1.8,11.1,10
SCI_Tree_1,OL_2,5/23/2023,,,10,127,1.7,1.8,10
SCI_Tree_1,OL_2,5/23/2023,,,10,128,2.5,1.8,10
SCI_Tree_1,OL_2,5/23/2023,,,10,129,6.6,11.1,10
SCI_Tree_1,OL_2,5/23/2023,,,10,130,6.5,22.1,10
SCI_Tree_1,OL_2,5/23/2023,,,10,131,5.5,11.1,10
SCI_Tree_1,OL_2,5/23/2023,,,10,132,5.6,63.5,10
SCI_Tree_1,OL_2,5/23/2023,,,10,133,7.2,15.4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,134,5,22.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,135,4.9,22.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,136,5.9,31.3,10
SCI_Tree_1,OL_2,5/23/2023,,,10,137,4.3,22.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,138,3.6,23.3,10
SCI_Tree_1,OL_2,5/23/2023,,,10,139,1.9,18.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,140,6.5,2.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,141,3.9,22.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,142,6,36.3,10
SCI_Tree_1,OL_2,5/23/2023,,,10,143,4.8,11.9,10
SCI_Tree_1,OL_2,5/23/2023,,,10,144,6.4,11.9,10
SCI_Tree_1,OL_2,5/23/2023,,,10,145,6.8,2.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,146,6.1,25.4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,147,2.5,11.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,148,3.4,24.7,10
SCI_Tree_1,OL_2,5/23/2023,,,10,149,3.9,74.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,150,2.2,12.8,10
SCI_Tree_1,OL_2,5/23/2023,,,10,151,3.5,43.4,10
SCI_Tree_1,OL_2,5/23/2023,,,10,152,2.4,2.2,10
SCI_Tree_1,OL_2,5/23/2023,,,10,153,2.4,1.8,10
SCI_Tree_1,OL_3,5/23/2023,,,10,154,5.9,55.6,10
SCI_Tree_1,OL_3,5/23/2023,,,10,155,4.9,55.6,10
SCI_Tree_1,OL_3,5/23/2023,,,10,156,7.2,52,10
SCI_Tree_1,OL_3,5/23/2023,,,10,157,5.4,7.5,10
SCI_Tree_1,OL_3,5/23/2023,,,10,158,7.3,7.5,10
SCI_Tree_1,OL_3,5/23/2023,,,10,159,5.3,27.5,10
SCI_Tree_1,OL_3,5/23/2023,,,10,160,5.4,16.1,10
SCI_Tree_1,OL_3,5/23/2023,,,10,161,6.4,8.2,10
SCI_Tree_1,OL_3,5/23/2023,,,10,162,6.5,3.5,10
SCI_Tree_1,OL_3,5/23/2023,,,10,163,3.9,3.5,10
SCI_Tree_1,OL_3,5/23/2023,,,10,164,3.4,9.4,10
SCI_Tree_1,OL_3,5/23/2023,,,10,165,2.9,7.3,10
SCI_Tree_1,OL_3,5/23/2023,,,10,166,2.6,7.3,10
SCI_Tree_1,OL_3,5/23/2023,,,10,167,4.1,14.5,10
SCI_Tree_1,OL_3,5/23/2023,,,10,168,3.5,50.4,10
SCI_Tree_1,OL_3,5/23/2023,,,10,169,3.7,0.7,10
SCI_Tree_1,OL_3,5/23/2023,,,10,170,2.4,0.7,10
SCI_Tree_1,OL_3,5/23/2023,,,10,171,2.9,22.9,10
SCI_Tree_1,OL_3,5/23/2023,,,10,172,2.8,31.7,10
