Date,Transect,Plot_Name,L_R,Meter_no,COL_pres,T_F,Tag_ID,A_elegantissima,Phragmatopoma_californica,Balanus_Chtalmus,Bare_rock,Ralfsia_sp,Coralline_crust,Endocladia_sp,P_polymerus,Ulva_sp,Notes
2024_34,CNM_3,CNM_3_E_3,R,4,Y,TRUE,0,1,0,1,14,0,0,0,0,0,
2024_35,CNM_3,CNM_3_C_3,L,4,N,FALSE,0,0,0,11,5,0,0,0,0,0,
2024_36,CNM_3,CNM_3_E_4,R,5,Y,TRUE,0,0,0,4,12,0,0,0,0,0,
2024_37,CNM_3,CNM_3_C_4,L,5,N,FALSE,0,0,0,7,9,0,0,0,0,0,
2024_38,CNM_3,CNM_3_E_5,R,6,Y,TRUE,0,0,0,0,16,0,0,0,0,0,
2024_39,CNM_3,CNM_3_C_5,L,6,N,FALSE,0,0,0,9,7,0,0,0,0,0,
2024_40,CNM_3,CNM_3_E_6,R,7,Y,TRUE,D047,0,0,6,10,0,0,0,0,0,
2024_41,CNM_3,CNM_3_C_6,L,7,N,FALSE,0,0,0,0,16,0,0,0,0,0,
2024_42,CNM_3,CNM_3_E_7,L,9,Y,TRUE,0,0,0,9,7,0,0,0,0,0,
2024_43,CNM_3,CNM_3_C_7,R,9,N,FALSE,0,0,0,4,12,0,0,0,0,0,
2024_44,CNM_4,CNM_4_E_1,R,1,Y,TRUE,D093,0,0,1,15,0,0,0,0,0,
2024_45,CNM_4,CNM_4_C_1,L,1,N,FALSE,0,0,0,7,9,0,0,0,0,0,
2024_46,CNM_4,CNM_4_E_2,R,2,Y,TRUE,0,0,0,6,10,0,0,0,0,0,
2024_47,CNM_4,CNM_4_C_2,L,2,N,FALSE,0,0,0,0,8,8,0,0,0,0,
2024_48,CNM_4,CNM_4_E_3,R,4,Y,TRUE,0,0,0,2,14,0,0,0,0,0,
2024_49,CNM_4,CNM_4_C_3,L,4,N,FALSE,0,0,0,5,11,0,0,0,0,0,
2024_50,CNM_4,CNM_4_E_4,L,6,Y,TRUE,0,0,0,14,2,0,0,0,0,0,
2024_51,CNM_4,CNM_4_C_4,R,6,N,FALSE,0,0,0,4,12,0,0,0,0,0,
2024_52,CNM_4,CNM_4_E_5,L,7,Y,TRUE,D111,0,0,10,6,0,0,0,0,0,
2024_53,CNM_4,CNM_4_C_5,R,7,N,FALSE,0,0,0,8,8,0,0,0,0,0,
2024_54,CNM_4,CNM_4_E_6,R,8,Y,TRUE,0,0,0,6,10,0,0,0,0,0,
2024_55,CNM_4,CNM_4_C_6,L,8,N,FALSE,0,0,0,3,13,0,0,0,0,0,
2024_56,CNM_4,CNM_4_E_7,L,10,Y,TRUE,0,0,0,2,14,0,0,0,0,0,
2024_57,CNM_4,CNM_4_C_7,R,10,N,FALSE,0,0,0,5,11,0,0,0,0,0,
2024_58,CNM_5,CNM_5_E_1,R,1,Y,TRUE,0,0,0,5,11,0,0,0,0,0,
2024_59,CNM_5,CNM_5_C_1,L,1,N,FALSE,0,0,0,0,16,0,0,0,0,0,
2024_60,CNM_5,CNM_5_E_2,R,2,Y,TRUE,0,0,0,0,14,2,0,0,0,0,
2024_61,CNM_5,CNM_5_C_2,L,2,N,FALSE,0,0,0,15,2,0,0,0,0,0,
2024_62,CNM_5,CNM_5_E_3,R,4,Y,TRUE,0,0,0,3,11,2,0,0,0,0,
2024_63,CNM_5,CNM_5_C_3,L,4,Y,FALSE,0,0,0,2,14,0,0,0,0,0,
2024_64,CNM_5,CNM_5_E_4,L,5,Y,TRUE,0,0,0,13,3,0,0,0,0,0,
2024_65,CNM_5,CNM_5_C_4,R,5,N,FALSE,0,0,0,0,16,0,0,0,0,0,
2024_66,CNM_5,CNM_5_E_5,L,6,Y,TRUE,D132,0,0,13,3,0,0,0,0,0,
2024_67,CNM_5,CNM_5_C_5,R,6,N,FALSE,0,0,0,0,16,0,0,0,0,0,
2024_68,CNM_5,CNM_5_E_6,R,8,Y,TRUE,0,0,0,11,5,0,0,0,0,0,
2024_69,CNM_5,CNM_5_C_6,L,8,N,FALSE,0,0,0,0,15,1,0,0,0,0,
2024_70,CNM_5,CNM_5_E_7,R,10,Y,TRUE,0,0,0,0,16,0,0,0,0,0,
2024_71,CNM_5,CNM_5_C_7,L,10,N,FALSE,0,0,0,1,15,0,0,0,0,0,
2024_72,CNM_6,CNM_6_E_1,L,0,Y,TRUE,0,0,0,0,10,6,0,0,0,0,
2024_73,CNM_6,CNM_6_C_1,R,0,N,FALSE,0,0,0,0,12,4,0,0,0,0,
2024_74,CNM_6,CNM_6_E_2,L,3,Y,TRUE,0,0,0,0,16,0,0,0,0,0,
2024_75,CNM_6,CNM_6_C_2,R,3,N,FALSE,0,0,0,0,14,2,0,0,0,0,
2024_76,CNM_6,CNM_6_E_3,R,4,Y,TRUE,0,0,0,0,15,1,0,0,0,0,
2024_77,CNM_6,CNM_6_C_3,L,4,N,FALSE,0,0,0,0,16,0,0,0,0,0,
2024_78,CNM_6,CNM_6_E_4,R,5,Y,TRUE,0,0,0,0,16,0,0,0,0,0,
2024_79,CNM_6,CNM_6_C_4,L,5,N,FALSE,0,0,0,0,16,0,0,0,0,0,
2024_80,CNM_6,CNM_6_E_5,L,7,Y,TRUE,0,0,0,0,15,1,0,0,0,0,
2024_81,CNM_6,CNM_6_C_5,R,7,N,FALSE,0,0,0,0,15,0,1,0,0,0,
2024_82,CNM_6,CNM_6_E_6,R,8,Y,TRUE,0,0,0,0,12,2,0,2,0,0,
2024_83,CNM_6,CNM_6_C_6,L,8,N,FALSE,0,1,0,0,15,0,0,0,0,0,
2024_84,CNM_6,CNM_6_E_7,R,10,Y,TRUE,0,2,0,0,5,9,0,0,0,0,
2024_85,CNM_6,CNM_6_C_7,L,10,N,FALSE,0,2,0,0,15,0,0,0,0,0,
2024_86,CNM_6,CNM_7_E_1,R,1,Y,TRUE,0,0,0,6,8,2,0,0,0,0,
2024_87,CNM_7,CNM_7_C_1,L,1,N,FALSE,0,0,0,7,9,0,0,0,0,0,
2024_88,CNM_7,CNM_7_E_2,R,2,Y,TRUE,0,0,4,0,12,0,0,0,0,0,
2024_89,CNM_7,CNM_7_C_2,L,2,N,FALSE,0,0,0,10,6,0,0,0,0,0,
2024_90,CNM_7,CNM_7_E_3,R,4,Y,TRUE,0,0,0,1,15,0,0,0,0,0,
2024_91,CNM_7,CNM_7_C_3,L,4,N,FALSE,0,0,0,0,16,0,0,0,0,0,
