Transect,Plot_Name,L_R,Meter_no,COL_pres,Tag_ID,COL_pres_TF,A_lugubris,L_plena,L_limatula,L_scabra,Nuttallina_sp,P_crassipes,T_funebralis,L_gigantea
CNM_5,CNM_5_E_2,L,2,Y,0,TRUE,0,0,0,0,0,0,0,0
CNM_5,CNM_5_C_2,R,2,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_5,CNM_5_E_3,R,6,Y,0,TRUE,1,0,0,1,0,0,0,1
CNM_5,CNM_5_C_3,L,6,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_5,CNM_5_E_4,R,8,Y,0,TRUE,0,1,1,0,0,0,0,1
CNM_5,CNM_5_C_4,L,8,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_6,CNM_6_E_1,L,5,Y,D141,TRUE,0,0,0,0,0,0,1,0
CNM_6,CNM_6_C_1,R,5,N,0,FALSE,0,0,0,1,0,0,0,0
CNM_6,CNM_6_E_2,L,8,Y,D147,TRUE,1,0,0,0,1,0,1,0
CNM_6,CNM_6_C_2,R,8,N,0,FALSE,0,0,0,1,0,0,0,0
CNM_6,CNM_6_E_3,L,9,Y,D154,TRUE,0,0,0,0,0,0,1,1
CNM_6,CNM_6_C_3,R,9,N,0,FALSE,0,0,0,0,0,0,0,0
